BrochureOrderEn,Brochure_Name_En,Datum,DomainEn,ForWebsite,Geo_Unit_En,Indicator_Name_En,Institution_En,Note_Public_En,OrderSub_Region_En,Period_Id,SDG Indicator,Source_En,Sub_Region_En,SubdomainEn
25,Prevalence of undernourishmen (%),11.770517652,Risk Factors,1,Andean Area,Prevalence of undernourishment (% of population) ,World Bank.,,8,2008,2.1.1 Prevalence of undernourishment,"World Development Indicators 2017. Washington, D.C. June 2018 Update. Accessed July 5, 2018. (http://databank.worldbank.org/data/home.aspx)",Andean Area,Nutrition
25,Prevalence of undernourishmen (%),11.280221074,Risk Factors,1,Andean Area,Prevalence of undernourishment (% of population) ,World Bank.,,8,2009,2.1.1 Prevalence of undernourishment,"World Development Indicators 2017. Washington, D.C. June 2018 Update. Accessed July 5, 2018. (http://databank.worldbank.org/data/home.aspx)",Andean Area,Nutrition
25,Prevalence of undernourishmen (%),10.834219936,Risk Factors,1,Andean Area,Prevalence of undernourishment (% of population) ,World Bank.,,8,2010,2.1.1 Prevalence of undernourishment,"World Development Indicators 2017. Washington, D.C. June 2018 Update. Accessed July 5, 2018. (http://databank.worldbank.org/data/home.aspx)",Andean Area,Nutrition
25,Prevalence of undernourishmen (%),10.405213926,Risk Factors,1,Andean Area,Prevalence of undernourishment (% of population) ,World Bank.,,8,2011,2.1.1 Prevalence of undernourishment,"World Development Indicators 2017. Washington, D.C. June 2018 Update. Accessed July 5, 2018. (http://databank.worldbank.org/data/home.aspx)",Andean Area,Nutrition
25,Prevalence of undernourishmen (%),9.943299869,Risk Factors,1,Andean Area,Prevalence of undernourishment (% of population) ,World Bank.,,8,2012,2.1.1 Prevalence of undernourishment,"World Development Indicators 2017. Washington, D.C. June 2018 Update. Accessed July 5, 2018. (http://databank.worldbank.org/data/home.aspx)",Andean Area,Nutrition
25,Prevalence of undernourishmen (%),9.761641500,Risk Factors,1,Andean Area,Prevalence of undernourishment (% of population) ,World Bank.,,8,2013,2.1.1 Prevalence of undernourishment,"World Development Indicators 2017. Washington, D.C. June 2018 Update. Accessed July 5, 2018. (http://databank.worldbank.org/data/home.aspx)",Andean Area,Nutrition
25,Prevalence of undernourishmen (%),9.809730246,Risk Factors,1,Andean Area,Prevalence of undernourishment (% of population) ,World Bank.,,8,2014,2.1.1 Prevalence of undernourishment,"World Development Indicators 2017. Washington, D.C. June 2018 Update. Accessed July 5, 2018. (http://databank.worldbank.org/data/home.aspx)",Andean Area,Nutrition
25,Prevalence of undernourishmen (%),10.604842636,Risk Factors,1,Andean Area,Prevalence of undernourishment (% of population) ,World Bank.,,8,2015,2.1.1 Prevalence of undernourishment,"World Development Indicators 2017. Washington, D.C. June 2018 Update. Accessed July 5, 2018. (http://databank.worldbank.org/data/home.aspx)",Andean Area,Nutrition
26,Prevalence of undernourishmen (%),28.1,Risk Factors,1,Bolivia (Plurinational State),Prevalence of undernourishment (% of population) ,World Bank.,,8,2008,2.1.1 Prevalence of undernourishment,"World Development Indicators 2017. Washington, D.C. June 2018 Update. Accessed July 5, 2018. (http://databank.worldbank.org/data/home.aspx)",Andean Area,Nutrition
26,Prevalence of undernourishmen (%),28,Risk Factors,1,Bolivia (Plurinational State),Prevalence of undernourishment (% of population) ,World Bank.,,8,2009,2.1.1 Prevalence of undernourishment,"World Development Indicators 2017. Washington, D.C. June 2018 Update. Accessed July 5, 2018. (http://databank.worldbank.org/data/home.aspx)",Andean Area,Nutrition
