BrochureOrderEn,Brochure_Name_En,Datum,DomainEn,ForWebsite,Geo_Unit_En,Indicator_Name_En,Institution_En,Note_Public_En,OrderSub_Region_En,Period_Id,SDG Indicator,Source_En,Sub_Region_En,SubdomainEn
25,Prevalence of insufficient physical activity in adults (%) total,36.996518826,Risk Factors,1,Andean Area,Prevalence of insufficient physical activity in adults aged 18+ years (%) total,PAHO/WHO.,,8,2016,,"Data compiled by the Department of Non Communicable Diseases and Mental Health from the WHO Global Health Observatory, accessed June 2018 (http://apps.who.int/gho/data/node.home).",Andean Area,NCDs risk factors
27,Prevalence of insufficient physical activity in adults (%) total,63.599998474,Risk Factors,1,Colombia,Prevalence of insufficient physical activity in adults aged 18+ years (%) total,PAHO/WHO.,,8,2010,,"Data compiled by the Department of Non Communicable Diseases and Mental Health from the WHO Global Health Observatory, accessed June 2018 (http://apps.who.int/gho/data/node.home).",Andean Area,NCDs risk factors
27,Prevalence of insufficient physical activity in adults (%) total,44,Risk Factors,1,Colombia,Prevalence of insufficient physical activity in adults aged 18+ years (%) total,PAHO/WHO.,,8,2016,,"Data compiled by the Department of Non Communicable Diseases and Mental Health from the WHO Global Health Observatory, accessed June 2018 (http://apps.who.int/gho/data/node.home).",Andean Area,NCDs risk factors
28,Prevalence of insufficient physical activity in adults (%) total,25.200000763,Risk Factors,1,Ecuador,Prevalence of insufficient physical activity in adults aged 18+ years (%) total,PAHO/WHO.,,8,2010,,"Data compiled by the Department of Non Communicable Diseases and Mental Health from the WHO Global Health Observatory, accessed June 2018 (http://apps.who.int/gho/data/node.home).",Andean Area,NCDs risk factors
28,Prevalence of insufficient physical activity in adults (%) total,27.2,Risk Factors,1,Ecuador,Prevalence of insufficient physical activity in adults aged 18+ years (%) total,PAHO/WHO.,,8,2016,,"Data compiled by the Department of Non Communicable Diseases and Mental Health from the WHO Global Health Observatory, accessed June 2018 (http://apps.who.int/gho/data/node.home).",Andean Area,NCDs risk factors
30,Prevalence of insufficient physical activity in adults (%) total,31.4,Risk Factors,1,Venezuela (Bolivarian Republic),Prevalence of insufficient physical activity in adults aged 18+ years (%) total,PAHO/WHO.,,8,2016,,"Data compiled by the Department of Non Communicable Diseases and Mental Health from the WHO Global Health Observatory, accessed June 2018 (http://apps.who.int/gho/data/node.home).",Andean Area,NCDs risk factors
31,Prevalence of insufficient physical activity in adults (%) total,27.799999237,Risk Factors,1,Brazil,Prevalence of insufficient physical activity in adults aged 18+ years (%) total,PAHO/WHO.,,9,2010,,"Data compiled by the Department of Non Communicable Diseases and Mental Health from the WHO Global Health Observatory, accessed June 2018 (http://apps.who.int/gho/data/node.home).",Brazil,NCDs risk factors
31,Prevalence of insufficient physical activity in adults (%) total,47,Risk Factors,1,Brazil,Prevalence of insufficient physical activity in adults aged 18+ years (%) total,PAHO/WHO.,,9,2016,,"Data compiled by the Department of Non Communicable Diseases and Mental Health from the WHO Global Health Observatory, accessed June 2018 (http://apps.who.int/gho/data/node.home).",Brazil,NCDs risk factors
11,Prevalence of insufficient physical activity in adults (%) total,46.1,Risk Factors,1,Costa Rica,Prevalence of insufficient physical activity in adults aged 18+ years (%) total,PAHO/WHO.,,6,2016,,"Data compiled by the Department of Non Communicable Diseases and Mental Health from the WHO Global Health Observatory, accessed June 2018 (http://apps.who.int/gho/data/node.home).",Central American Isthmus,NCDs risk factors
13,Prevalence of insufficient physical activity in adults (%) total,13.300000191,Risk Factors,1,Guatemala,Prevalence of insufficient physical activity in adults aged 18+ years (%) total,PAHO/WHO.,,6,2010,,"Data compiled by the Department of Non Communicable Diseases and Mental Health from the WHO Global Health Observatory, accessed June 2018 (http://apps.who.int/gho/data/node.home).",Central American Isthmus,NCDs risk factors
13,Prevalence of insufficient physical activity in adults (%) total,37.1,Risk Factors,1,Guatemala,Prevalence of insufficient physical activity in adults aged 18+ years (%) total,PAHO/WHO.,,6,2016,,"Data compiled by the Department of Non Communicable Diseases and Mental Health from the WHO Global Health Observatory, accessed June 2018 (http://apps.who.int/gho/data/node.home).",Central American Isthmus,NCDs risk factors
7,Prevalence of insufficient physical activity in adults (%) total,31.161928692,Risk Factors,1,Latin America,Prevalence of insufficient physical activity in adults aged 18+ years (%) total,PAHO/WHO.,,4,2010,,"Data compiled by the Department of Non Communicable Diseases and Mental Health from the WHO Global Health Observatory, accessed June 2018 (http://apps.who.int/gho/data/node.home).",Latin America,NCDs risk factors
7,Prevalence of insufficient physical activity in adults (%) total,38.943932235,Risk Factors,1,Latin America,Prevalence of insufficient physical activity in adults aged 18+ years (%) total,PAHO/WHO.,,4,2016,,"Data compiled by the Department of Non Communicable Diseases and Mental Health from the WHO Global Health Observatory, accessed June 2018 (http://apps.who.int/gho/data/node.home).",Latin America,NCDs risk factors
41,Prevalence of insufficient physical activity in adults (%) total,43,Risk Factors,1,Bahamas,Prevalence of insufficient physical activity in adults aged 18+ years (%) total,PAHO/WHO.,,11,2010,,"Data compiled by the Department of Non Communicable Diseases and Mental Health from the WHO Global Health Observatory, accessed June 2018 (http://apps.who.int/gho/data/node.home).",Non-Latin Caribbean,NCDs risk factors
41,Prevalence of insufficient physical activity in adults (%) total,43.3,Risk Factors,1,Bahamas,Prevalence of insufficient physical activity in adults aged 18+ years (%) total,PAHO/WHO.,,11,2016,,"Data compiled by the Department of Non Communicable Diseases and Mental Health from the WHO Global Health Observatory, accessed June 2018 (http://apps.who.int/gho/data/node.home).",Non-Latin Caribbean,NCDs risk factors
