Water Source,Region,Percent,Show_Region
Piped water into dwelling,Tigray,,Tigray
Piped water into yard or plot,Tigray,20.8,Tigray
"Piped water, public tap or standpipe",Tigray,5.5,Tigray
Piped water kiosk or retailer,Tigray,,Tigray
Tube well or borehole,Tigray,29.2,Tigray
Protected dug well,Tigray,6.9,Tigray
Protected spring,Tigray,,Tigray
Rain water,Tigray,,Tigray
Bottled water,Tigray,,Tigray
Tanker truck or cart with small tank,Tigray,,Tigray
Total improved,Tigray,72.1,Tigray
Unprotected dug well,Tigray,5.7,Tigray
Unprotected spring,Tigray,11.2,Tigray
Surface water,Tigray,11,Tigray
Other,Tigray,,Tigray
Total unimproved,Tigray,27.9,Tigray
Piped water into dwelling,Amhara,,Amhara
Piped water into yard or plot,Amhara,12.4,Amhara
"Piped water, public tap or standpipe",Amhara,4.7,Amhara
Piped water kiosk or retailer,Amhara,2,Amhara
Tube well or borehole,Amhara,19.3,Amhara
Protected dug well,Amhara,4,Amhara
Protected spring,Amhara,16.9,Amhara
Rain water,Amhara,,Amhara
Bottled water,Amhara,,Amhara
Tanker truck or cart with small tank,Amhara,,Amhara
Total improved,Amhara,61.7,Amhara
Unprotected dug well,Amhara,,Amhara
Unprotected spring,Amhara,25.1,Amhara
Surface water,Amhara,10.8,Amhara
Other,Amhara,,Amhara
Total unimproved,Amhara,38.3,Amhara
Piped water into dwelling,Oromia,,Oromia
Piped water into yard or plot,Oromia,12.2,Oromia
"Piped water, public tap or standpipe",Oromia,16.3,Oromia
Piped water kiosk or retailer,Oromia,1.8,Oromia
Tube well or borehole,Oromia,10.9,Oromia
Protected dug well,Oromia,6.6,Oromia
Protected spring,Oromia,13.8,Oromia
Rain water,Oromia,,Oromia
Bottled water,Oromia,,Oromia
Tanker truck or cart with small tank,Oromia,,Oromia
Total improved,Oromia,66,Oromia
Unprotected dug well,Oromia,2.4,Oromia
Unprotected spring,Oromia,21.4,Oromia
Surface water,Oromia,8.8,Oromia
Other,Oromia,,Oromia
Total unimproved,Oromia,34,Oromia
Piped water into dwelling,SNNP,,SNNP
Piped water into yard or plot,SNNP,12.8,SNNP
"Piped water, public tap or standpipe",SNNP,15.3,SNNP
Piped water kiosk or retailer,SNNP,,SNNP
