Region,Any,Mild,Moderate,Severe,anyRank,mildRank,moderateRank,severeRank
Mizoram,19.3,12.8,5.9,0.7,1,1,1,14
Manipur,23.9,16.5,7.2,0.2,2,3,2,2
Nagaland,26.4,15.1,10.8,0.5,3,2,3,10.5
Assam,35.7,23.9,11.4,0.4,4.5,8,4,6
Kerala,35.7,22.8,12.5,0.4,4.5,6,5,6
Chhattisgarh,41.6,24,17,0.6,6,9,7,13
Odisha,44.6,24.8,19,0.8,7,11,11,15.5
Puducherry,44.9,29,15.6,0.2,8,23,6,2
Meghalaya,48,30.2,17.3,0.5,9,27.5,8,10.5
Goa,48.3,29.8,18.1,0.5,10.5,26,10,10.5
Tripura,48.3,30.5,17.6,0.2,10.5,30,9,2
Andaman and Nicobar Islands,49,26,22.6,0.4,12,12,14,6
Tamil Nadu,50.7,27.5,22.2,0.9,13,18.5,12.5,17.5
Lakshadweep,53.6,27.8,25.5,0.4,14,21,18,6
Himachal Pradesh,53.7,23.1,28,2.6,15,7,20,33
Maharashtra,53.8,27.7,25,1.1,16,20,17,20
West Bengal,54.2,30.9,22.8,0.5,17,31,15,10.5
Arunachal Pradesh,54.3,29.1,24.1,1.1,18,24,16,20
Jammu & Kashmir,54.5,22.6,29.6,2.4,19,5,22,29.5
Sikkim,55.1,32.4,22.2,0.4,20,34,12.5,6
Punjab,56.6,27.3,27.9,1.4,21,16.5,19,22.5
Andhra Pradesh,58.6,26.4,29.9,2.4,22,13.5,24,29.5
New Delhi,59.7,19.4,36.2,4.1,23,4,30,36
Uttarakhand,59.8,27.3,30.1,2.4,24,16.5,25,29.5
Rajasthan,60.3,27.1,31.3,1.9,25,15,26,26
Telangana,60.7,24.7,33.5,2.5,26,10,28,32
Karnataka,60.9,30.3,29.8,0.8,27,29,23,15.5
Gujarat,62.6,31.5,29.3,1.7,28,32,21,24.5
Uttar Pradesh,63.2,26.4,34.4,2.4,29,13.5,29,29.5
Bihar,63.5,30.2,31.8,1.4,30,27.5,27,22.5
Madhya Pradesh,68.9,29.4,37.6,2,31,25,33,27
Jharkhand,69.9,31.6,37.2,1.1,32,33,31.5,20
Haryana,71.7,28.2,40.5,3,33,22,34,34
Chandigarh,73.1,27.5,41.6,4,34,18.5,35,35
Daman and Diu,73.8,35.7,37.2,0.9,35,36,31.5,17.5
Dadra and Nagar Haveli,84.6,35.5,47.4,1.7,36,35,36,24.5
