country,country_name,residence_type,service_type,year,value,population,service_level
TKM,Turkmenistan,total,Sanitation,2000,95.18972,4284888.12146,At least basic
TKM,Turkmenistan,rural,Sanitation,2000,96.31833,2345045.6782,At least basic
TKM,Turkmenistan,urban,Sanitation,2000,93.86018,1939842.44526,At least basic
TKM,Turkmenistan,total,Drinking water,2000,16.73416,753274.55382,Basic service
TKM,Turkmenistan,rural,Drinking water,2000,27.9934,681550.47201,Basic service
TKM,Turkmenistan,urban,Drinking water,2000,3.4704,71724.10169,Basic service
TKM,Turkmenistan,total,Hygiene,2000,70.7457,3184560.39472,Basic service
TKM,Turkmenistan,rural,Hygiene,2000,60.588,1475125.47889,Basic service
TKM,Turkmenistan,urban,Hygiene,2000,82.7118,1709434.89789,Basic service
TKM,Turkmenistan,total,Hygiene,2000,6.31933,284459.6431,Limited service
TKM,Turkmenistan,rural,Hygiene,2000,5.412,131765.02099,Limited service
TKM,Turkmenistan,urban,Hygiene,2000,7.3882,152694.62051,Limited service
TKM,Turkmenistan,total,Sanitation,2000,3.05621,137572.85153,Limited service
TKM,Turkmenistan,rural,Sanitation,2000,0.94943,23115.60483,Limited service
TKM,Turkmenistan,urban,Sanitation,2000,5.53807,114457.24298,Limited service
TKM,Turkmenistan,total,Drinking water,2000,4.65637,209602.94474,Limited service
TKM,Turkmenistan,rural,Drinking water,2000,1.31237,31952.12804,Limited service
TKM,Turkmenistan,urban,Drinking water,2000,8.59572,177650.8108,Limited service
TKM,Turkmenistan,total,Hygiene,2000,22.93497,1032398.96218,No handwashing facility
TKM,Turkmenistan,rural,Hygiene,2000,34,827792.0757,No handwashing facility
TKM,Turkmenistan,urban,Hygiene,2000,9.9,204606.90602,No handwashing facility
TKM,Turkmenistan,total,Sanitation,2000,0.58856,26493.68774,Open defecation
TKM,Turkmenistan,rural,Sanitation,2000,0.86383,21031.5991,Open defecation
TKM,Turkmenistan,urban,Sanitation,2000,0.26429,5462.08912,Open defecation
TKM,Turkmenistan,total,Drinking water,2000,67.25394,3027381.72471,Safely managed service
TKM,Turkmenistan,rural,Drinking water,2000,50.23201,1222990.00825,Safely managed service
TKM,Turkmenistan,urban,Drinking water,2000,87.30633,1804391.68641,Safely managed service
TKM,Turkmenistan,total,Drinking water,2000,9.68147,435803.35735,Surface water
TKM,Turkmenistan,rural,Drinking water,2000,17.52041,426566.32472,Surface water
TKM,Turkmenistan,urban,Drinking water,2000,0.44694,9237.04647,Surface water
TKM,Turkmenistan,total,Sanitation,2000,1.16551,52464.33926,Unimproved
TKM,Turkmenistan,rural,Sanitation,2000,1.8684,45489.69344,Unimproved
TKM,Turkmenistan,urban,Sanitation,2000,0.33747,6974.64706,Unimproved
TKM,Turkmenistan,total,Drinking water,2000,1.67406,75356.41937,Unimproved
TKM,Turkmenistan,rural,Drinking water,2000,2.94181,71623.64256,Unimproved
TKM,Turkmenistan,urban,Drinking water,2000,0.18061,3732.77905,Unimproved
TKM,Turkmenistan,total,Sanitation,2001,95.28802,4337283.76341,At least basic
TKM,Turkmenistan,rural,Sanitation,2001,96.4777,2365358.86548,At least basic
TKM,Turkmenistan,urban,Sanitation,2001,93.89911,1971924.89671,At least basic
TKM,Turkmenistan,total,Drinking water,2001,16.22222,738396.98519,Basic service
TKM,Turkmenistan,rural,Drinking water,2001,27.14354,665482.45375,Basic service
TKM,Turkmenistan,urban,Drinking water,2001,3.47204,72914.52026,Basic service
TKM,Turkmenistan,total,Hygiene,2001,72.58038,3303686.13648,Basic service
TKM,Turkmenistan,rural,Hygiene,2001,62.9938,1544428.70581,Basic service
TKM,Turkmenistan,urban,Hygiene,2001,83.77231,1759257.44049,Basic service
TKM,Turkmenistan,total,Hygiene,2001,5.9492,270793.44041,Limited service
TKM,Turkmenistan,rural,Hygiene,2001,5.10528,125166.98635,Limited service
TKM,Turkmenistan,urban,Hygiene,2001,6.93444,145626.45492,Limited service
TKM,Turkmenistan,total,Sanitation,2001,3.0684,139666.04975,Limited service
TKM,Turkmenistan,rural,Sanitation,2001,0.951,23315.83616,Limited service
TKM,Turkmenistan,urban,Sanitation,2001,5.54036,116350.21576,Limited service
TKM,Turkmenistan,total,Drinking water,2001,4.68621,213305.25844,Limited service
TKM,Turkmenistan,rural,Drinking water,2001,1.334,32705.94674,Limited service
TKM,Turkmenistan,urban,Drinking water,2001,8.59978,180599.31513,Limited service
TKM,Turkmenistan,total,Hygiene,2001,21.47042,977282.42311,No handwashing facility
TKM,Turkmenistan,rural,Hygiene,2001,31.90092,782119.82667,No handwashing facility
TKM,Turkmenistan,urban,Hygiene,2001,9.29325,195162.58576,No handwashing facility
TKM,Turkmenistan,total,Sanitation,2001,0.55151,25103.61168,Open defecation
TKM,Turkmenistan,rural,Sanitation,2001,0.81284,19928.49687,Open defecation
TKM,Turkmenistan,urban,Sanitation,2001,0.24643,5175.11454,Open defecation
TKM,Turkmenistan,total,Drinking water,2001,68.50819,3118329.69212,Safely managed service
TKM,Turkmenistan,rural,Drinking water,2001,52.37109,1283990.18988,Safely managed service
TKM,Turkmenistan,urban,Drinking water,2001,87.34757,1834339.51876,Safely managed service
TKM,Turkmenistan,total,Drinking water,2001,9.02145,410635.02863,Surface water
