health_zone,province,8/3/18,8/5/18,8/6/18,8/7/18,8/8/18,8/9/18,8/10/18,8/11/18,8/12/18,8/13/18,8/14/18,8/15/18,8/16/18,8/17/18,8/18/18,8/19/18,8/20/18,8/21/18,8/22/18,8/23/18,8/24/18,8/25/18,8/26/18,8/27/18,8/28/18,8/29/18,8/30/18,8/31/18,9/1/18,9/2/18,9/3/18,9/4/18,9/5/18,9/6/18,9/7/18,9/8/18,9/9/18,9/10/18,9/11/18,9/12/18,9/13/18,9/14/18,9/15/18,9/16/18,9/17/18,9/18/18,9/19/18,9/20/18,9/21/18,9/22/18,9/23/18,9/24/18,9/25/18,9/26/18,9/27/18,9/28/18,9/29/18,9/30/18,10/1/18,10/2/18,10/3/18,10/4/18,10/5/18,10/6/18,10/7/18,10/8/18,10/9/18,10/10/18,10/11/18,10/12/18,10/13/18,10/14/18,10/15/18,10/16/18,10/17/18,10/18/18,10/19/18,10/20/18,10/21/18,10/22/18,10/23/18,10/24/18,10/25/18,10/26/18,10/27/18,10/28/18,10/29/18,10/30/18,10/31/18,11/1/18,11/2/18,11/3/18,11/4/18,11/5/18,11/6/18,11/7/18,11/8/18,11/9/18,11/10/18,11/11/18,11/12/18,11/13/18,11/14/18,11/15/18,11/16/18,11/17/18,11/18/18,11/19/18,11/20/18,11/21/18,11/22/18,11/23/18,11/24/18,11/25/18,11/26/18,11/27/18,11/28/18,11/29/18,11/30/18,12/1/18,12/2/18,12/3/18,12/4/18,12/5/18,12/6/18,12/7/18,12/8/18,12/9/18,12/10/18,12/11/18,12/12/18,12/13/18,12/14/18,12/15/18,12/16/18,12/17/18,12/18/18,12/19/18,12/20/18,12/21/18,12/22/18,12/23/18,12/24/18,12/25/18,12/26/18,12/27/18,12/28/18,12/29/18,12/30/18,12/31/18,1/1/19,1/2/19,1/3/19,1/4/19,1/5/19,1/6/19,1/7/19,1/8/19,1/9/19,1/10/19,1/11/19,1/12/19,1/13/19,1/14/19,1/15/19,1/16/19,1/17/19,1/18/19,1/19/19,1/20/19,1/21/19,1/22/19,1/23/19,1/24/19,1/25/19,1/26/19,1/27/19,1/28/19,1/29/19,1/30/19,1/31/19,2/1/19,2/2/19,2/3/19,2/4/19,2/5/19,2/6/19,2/7/19,2/8/19,2/9/19,2/10/19,2/11/19,2/12/19,2/13/19,2/14/19,2/15/19,2/16/19,2/17/19,2/18/19,2/19/19,2/20/19,2/21/19,2/22/19,2/23/19,2/24/19,2/25/19,2/26/19,2/27/19,2/28/19,3/1/19,3/2/19,3/3/19,3/4/19,3/5/19,3/6/19,3/7/19,3/8/19,3/9/19,3/10/19,3/11/19,3/12/19,3/13/19,3/14/19,3/15/19,3/16/19,3/17/19,3/18/19,3/19/19,3/20/19,3/21/19,3/22/19,3/23/19,3/24/19,3/25/19,3/26/19,3/27/19,3/28/19,3/29/19,3/30/19,3/31/19,4/1/19,4/2/19,4/3/19,4/4/19,4/5/19,4/6/19,4/7/19,4/8/19,4/9/19,4/10/19,4/11/19,4/12/19,4/13/19,4/14/19,4/15/19,4/16/19,4/17/19,4/18/19,4/19/19,4/20/19,4/21/19,4/22/19,4/23/19,4/24/19,4/25/19,4/26/19,4/27/19,4/28/19,4/29/19,4/30/19,5/1/19,5/2/19,5/3/19,5/4/19,5/5/19,5/6/19,5/7/19,5/8/19,5/9/19,5/10/19,5/11/19,5/12/19,5/13/19,5/14/19,5/15/19,5/16/19,5/17/19,5/18/19,5/19/19,5/20/19,5/21/19,5/22/19,5/23/19,5/24/19,5/25/19,5/26/19,5/27/19,5/28/19,5/29/19,5/30/19,5/31/19,6/1/19,6/2/19,6/3/19,6/4/19,6/5/19,6/6/19,6/7/19,6/8/19,6/9/19,6/10/19,6/11/19,6/12/19,6/13/19,6/14/19,6/15/19,6/16/19,6/17/19,6/18/19,6/19/19,6/20/19,6/21/19,6/22/19,6/23/19,6/24/19,6/25/19,6/26/19,6/27/19,6/28/19,6/29/19,6/30/19,7/1/19,7/2/19,7/3/19,7/4/19,7/5/19,7/6/19,7/7/19,7/8/19,7/9/19,7/10/19,7/11/19,7/12/19,7/13/19,7/14/19,7/15/19,7/16/19,7/17/19,7/18/19,7/19/19,7/20/19,7/21/19,7/30/19,7/31/19
Ariwara,Ituri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bunia,Ituri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Komanda,Ituri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,8,9,9,9,8,8,8,8,9,11,14,15,15,17,18,20,27,28,29,28,28,28,28,29,29,29,29,30,30,30,31,31,23,23,23,23,23,23,23,24,24,24,27,27,27,27,27,27,27,27,27,27,27,27,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,37,37,37,37,37,37,37,37,37,37,37,36,37,37,37,37,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,38,38,38,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,43,45
Mambasa,Ituri,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,3,6,6
Mandima,Ituri,5,2,2,2,2,2,2,2,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,22,23,24,24,24,26,26,27,27,27,27,28,29,31,32,32,32,32,33,36,38,39,39,39,41,42,42,43,45,47,50,51,52,55,56,57,57,58,61,62,64,64,65,66,68,70,71,73,75,76,76,77,78,77,80,83,87,88,91,97,97,98,100,101,103,105,112,116,117,117,119,121,122,122,124,126,127,127,129,130,130,130,131,133,135,135,134,136,135,138,138,139,139,139,140,144,145,147,149,152,152,153,154,154,157,158,161,162,162,166,168,168,169,172,173,173,175,175,175,175,175,175,175,176,177,178,179,179,179,181,181,181,181,181,182,182,183,185,185,187,192,195,196,197,219,220
Nyakunde,Ituri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rwampara,Ituri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,5,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Tchomia,Ituri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Alimbongo,North Kivu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5
Beni,North Kivu,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,8,8,11,11,11,13,14,16,18,18,19,22,21,22,22,24,24,24,24,24,25,28,28,29,29,29,29,29,32,32,33,33,34,34,37,38,39,41,42,42,43,45,46,51,55,57,63,69,74,77,79,81,84,85,88,91,95,101,103,104,110,112,115,121,128,128,132,134,136,140,142,145,147,148,149,151,152,155,159,161,162,162,164,163,163,168,173,176,175,177,181,183,184,188,189,189,190,190,191,193,194,196,197,197,199,201,211,212,212,213,213,214,216,216,216,216,216,216,217,218,220,221,221,221,221,222,222,222,222,222,223,225,225,225,227,227,227,227,227,227,227,227,227,227,225,225,225,226,227,227,226,226,226,226,227,229,230,231,233,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,237,237,237,238,239,240,242,243,245,246,247,248,248,249,250,252,253,254,254,255,257,258,258,260,260,259,259,259,260,260,261,262,262,264,264,264,264,266,267,269,270,270,270,277,277,277,279,281,281,282,283,283,287,288,292,294,296,298,301,303,305,310,312,314,314,314,314,315,314,315,317,319,319,323,323,324,324,324,325,325,326,327,328,332,336,336,336,337,338,339,342,347,351,353,356,358,365,367,372,379,385,391,393,404,408,412,415,418,424,429,437,443,452,459,468,472,479,484,490,494,500,507,516,526,584,590
Biena,North Kivu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,13,13,13,13,14,14,14,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17
Butembo,North Kivu,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,5,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,11,13,13,13,13,13,13,14,14,15,16,16,16,18,18,18,18,19,20,20,22,23,26,26,26,28,28,31,32,32,33,33,34,36,36,36,25,10,10,11,11,10,10,11,11,11,11,11,12,14,17,17,17,17,17,17,18,18,18,19,25,25,29,30,30,30,30,30,30,30,32,34,34,34,35,35,35,35,37,38,39,39,39,39,41,41,41,43,43,45,42,46,46,46,46,46,46,46,48,48,49,50,50,52,53,53,52,51,52,52,52,52,52,52,53,53,54,56,56,56,58,58,58,59,59,59,61,61,62,64,66,66,66,66,67,68,69,69,71,73,76,76,78,78,78,78,78,79,83,83,84,85,85,85,87,88,88,88,88,89,90,90,91,91,92,94,94,95,97,97,98,98,98,98,98,98,98,99,100,100,101,104,104,107,108,108,109,112,112,113,113,116,120,122,123,125,126,127,128,129,129,131,137,143,144,145,149,151,151,153,153,154,154,154,154,159,164,165,167,169,170,172,177,182,186,187,191,199,203,205,212,215,216,217,220,220,223,223,228,231,233,233,234,235,236,238,238,238,238,239,239,241,241,241,243,243,243,243,243,243,243,245,246,246,246,247,248,248,248,250,252,253,254,254,254,254,254,254,254,254,255,255,255,255,257,257,258,258,258,259,258
Goma,North Kivu,,,,,0,,,,,,,,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Kalunguta,North Kivu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,6,7,7,9,9,24,28,28,29,36,36,36,36,37,39,40,40,41,43,44,45,45,45,45,46,46,47,47,47,47,47,43,43,43,43,43,44,45,46,46,46,46,46,47,47,47,49,49,49,49,51,51,51,51,51,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,57,57,57,57,57,57,58,58,58,58,57,57,57,57,58,58,58,58,58,59,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62,64,65,67,67,67,67,67,67,69,69,72,72,73,74,74,75,75,76,77,79,83,83,87,89,91,100,100,100,101,102,103,104,107,112,113,114,115,115,116,116,116,118,119,120,120,120,121,122,123,123,123,123,123,123,123,124,124,126,127,129,130,131,131,134,134,134,135,135,135,135,135,136,136,136,137,137,138,140,140,140,140,140,140,141,142,142,142,142,143,143,143,143,143,143,143,143,148,147
Katwa,North Kivu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,17,18,20,23,26,26,33,35,37,39,40,42,42,42,45,46,47,48,49,50,52,54,58,57,57,60,60,62,64,64,66,66,69,70,73,74,74,75,78,79,79,80,80,82,82,82,82,82,84,84,86,89,90,91,92,93,94,94,95,103,108,114,116,117,123,126,126,130,137,146,148,156,157,158,160,164,172,178,179,182,185,189,190,191,191,198,204,206,211,213,215,218,220,221,222,223,226,229,232,234,237,239,242,241,245,250,252,253,255,256,258,260,265,267,268,268,268,268,268,269,270,272,275,278,280,282,283,283,286,288,292,292,296,302,306,308,313,315,316,319,322,325,332,343,344,351,362,370,384,400,407,415,418,429,432,443,446,447,448,455,461,464,473,481,485,495,502,510,517,523,529,532,536,537,542,542,550,551,552,555,558,561,565,567,571,573,574,574,579,581,584,586,585,587,588,589,592,596,596,601,603,605,607,607,608,610,610,610,611,611,612,612,614,616,616,617,617,618,619,619,619,619,619,619,619,619,619,619,620,620,621,623,623,623,623,624,624,625,628,631,634,635,635,636,637,637,638,638,638,638,640,640
Kayna,North Kivu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,
Kyondo,North Kivu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,16,17,17,18,19,19,19,19,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,17,17,19,19,19,19,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22
